date,PM2.5,TEMP,DEWP
2013-03-01 00:00:00,4.0,-0.7,-18.8
2013-03-01 01:00:00,8.0,-1.1,-18.2
2013-03-01 02:00:00,7.0,-1.1,-18.2
2013-03-01 03:00:00,6.0,-1.4,-19.4
2013-03-01 04:00:00,3.0,-2.0,-19.5
2013-03-01 05:00:00,5.0,-2.2,-19.6
2013-03-01 06:00:00,3.0,-2.6,-19.1
2013-03-01 07:00:00,3.0,-1.6,-19.1
2013-03-01 08:00:00,3.0,0.1,-19.2
2013-03-01 09:00:00,3.0,1.2,-19.3
2013-03-01 10:00:00,3.0,1.9,-19.4
2013-03-01 11:00:00,3.0,2.9,-20.5
2013-03-01 12:00:00,3.0,3.9,-19.7
2013-03-01 13:00:00,3.0,5.3,-19.3
2013-03-01 14:00:00,6.0,6.0,-19.6
2013-03-01 15:00:00,8.0,6.2,-18.6
2013-03-01 16:00:00,9.0,5.9,-18.1
2013-03-01 17:00:00,10.0,4.3,-18.7
2013-03-01 18:00:00,11.0,3.1,-18.4
2013-03-01 19:00:00,8.0,2.3,-18.4
2013-03-01 20:00:00,11.0,1.7,-17.3
2013-03-01 21:00:00,12.0,0.6,-16.7
2013-03-01 22:00:00,15.0,0.9,-17.4
2013-03-01 23:00:00,24.0,-0.2,-17.4
2013-03-02 00:00:00,22.0,-0.4,-17.6
2013-03-02 01:00:00,14.0,-1.0,-17.3
2013-03-02 02:00:00,13.0,-1.5,-16.9
2013-03-02 03:00:00,3.0,-1.4,-17.6
2013-03-02 04:00:00,3.0,-1.5,-17.7
2013-03-02 05:00:00,9.0,-1.8,-17.5
2013-03-02 06:00:00,4.0,-2.5,-17.7
2013-03-02 07:00:00,3.0,-1.7,-17.0
2013-03-02 08:00:00,3.0,-0.4,-17.6
2013-03-02 09:00:00,10.0,0.6,-16.7
2013-03-02 10:00:00,11.0,1.7,-16.3
2013-03-02 11:00:00,18.0,2.2,-16.8
2013-03-02 12:00:00,26.0,2.7,-16.4
2013-03-02 13:00:00,25.0,3.3,-16.4
2013-03-02 14:00:00,26.0,3.8,-16.0
2013-03-02 15:00:00,37.0,3.9,-16.5
2013-03-02 16:00:00,37.0,3.5,-15.2
2013-03-02 17:00:00,44.0,2.2,-13.6
2013-03-02 18:00:00,54.0,1.2,-12.3
2013-03-02 19:00:00,61.0,1.5,-13.8
2013-03-02 20:00:00,67.0,1.2,-14.1
2013-03-02 21:00:00,74.0,0.6,-14.2
2013-03-02 22:00:00,81.0,-0.6,-13.9
2013-03-02 23:00:00,93.0,-0.8,-13.4
2013-03-03 00:00:00,112.0,-1.4,-13.0
2013-03-03 01:00:00,109.0,-2.0,-13.2
2013-03-03 02:00:00,110.0,-2.8,-12.3
2013-03-03 03:00:00,105.0,-2.6,-13.2
2013-03-03 04:00:00,106.0,-4.3,-11.8
2013-03-03 05:00:00,101.0,-5.6,-10.9
2013-03-03 06:00:00,91.0,-5.8,-11.0
2013-03-03 07:00:00,79.0,-3.1,-11.1
2013-03-03 08:00:00,77.0,0.7,-13.0
2013-03-03 09:00:00,83.0,3.5,-13.8
2013-03-03 10:00:00,94.0,6.5,-13.2
2013-03-03 11:00:00,96.0,11.4,-10.8
2013-03-03 12:00:00,91.0,13.8,-13.3
2013-03-03 13:00:00,98.0,16.0,-13.5
2013-03-03 14:00:00,72.0,16.7,-14.0
2013-03-03 15:00:00,48.0,16.9,-12.7
2013-03-03 16:00:00,28.0,16.4,-15.4
2013-03-03 17:00:00,26.0,13.1,-10.1
2013-03-03 18:00:00,24.0,8.7,-11.3
2013-03-03 19:00:00,19.0,12.2,-13.7
2013-03-03 20:00:00,60.0,11.7,-12.6
2013-03-03 21:00:00,117.0,5.3,-10.9
2013-03-03 22:00:00,54.0,3.1,-10.2
2013-03-03 23:00:00,46.0,5.2,-10.6
2013-03-04 00:00:00,42.0,7.7,-11.1
2013-03-04 01:00:00,49.0,8.2,-11.7
2013-03-04 02:00:00,34.0,8.1,-11.8
2013-03-04 03:00:00,12.0,7.2,-11.6
2013-03-04 04:00:00,7.0,6.0,-11.6
2013-03-04 05:00:00,10.0,2.7,-10.9
2013-03-04 06:00:00,13.0,3.8,-11.4
2013-03-04 07:00:00,14.0,6.5,-10.7
2013-03-04 08:00:00,13.0,9.0,-12.2
2013-03-04 09:00:00,15.0,10.6,-12.1
2013-03-04 10:00:00,16.0,11.9,-12.4
2013-03-04 11:00:00,18.0,13.1,-13.0
2013-03-04 12:00:00,13.0,14.2,-13.9
2013-03-04 13:00:00,3.0,15.3,-13.0
2013-03-04 14:00:00,3.0,15.2,-13.1
2013-03-04 15:00:00,10.0,15.3,-13.0
2013-03-04 16:00:00,14.0,14.5,-13.7
2013-03-04 17:00:00,20.0,12.7,-11.8
2013-03-04 18:00:00,25.0,11.6,-11.3
2013-03-04 19:00:00,31.0,10.9,-10.6
2013-03-04 20:00:00,34.0,9.9,-10.3
2013-03-04 21:00:00,40.0,8.4,-10.0
2013-03-04 22:00:00,51.0,8.6,-9.9
2013-03-04 23:00:00,58.0,7.7,-9.3
2013-03-05 00:00:00,71.0,4.7,-9.1
2013-03-05 01:00:00,91.0,1.1,-7.9
2013-03-05 02:00:00,100.0,-0.6,-8.1
2013-03-05 03:00:00,103.0,0.2,-8.8
2013-03-05 04:00:00,115.0,1.8,-9.5
2013-03-05 05:00:00,117.0,0.6,-9.4
2013-03-05 06:00:00,104.0,-0.2,-8.6
2013-03-05 07:00:00,106.0,2.9,-9.1
2013-03-05 08:00:00,111.0,5.1,-9.1
2013-03-05 09:00:00,114.0,7.7,-8.4
2013-03-05 10:00:00,131.0,9.4,-8.2
2013-03-05 11:00:00,138.0,10.6,-8.1
2013-03-05 12:00:00,142.0,11.9,-7.5
2013-03-05 13:00:00,163.0,12.6,-8.0
2013-03-05 14:00:00,168.0,13.5,-7.8
2013-03-05 15:00:00,165.0,13.8,-7.6
2013-03-05 16:00:00,166.0,13.2,-7.0
2013-03-05 17:00:00,190.0,12.1,-6.4
2013-03-05 18:00:00,203.0,9.0,-5.7
2013-03-05 19:00:00,210.0,5.3,-4.8
2013-03-05 20:00:00,205.0,3.3,-4.7
2013-03-05 21:00:00,215.0,2.9,-4.6
2013-03-05 22:00:00,219.0,5.2,-6.1
2013-03-05 23:00:00,226.0,4.9,-6.1
2013-03-06 00:00:00,284.0,4.9,-6.4
2013-03-06 01:00:00,272.0,4.8,-5.9
2013-03-06 02:00:00,242.0,4.1,-5.9
2013-03-06 03:00:00,212.0,4.0,-6.3
2013-03-06 04:00:00,192.0,3.9,-6.1
2013-03-06 05:00:00,188.0,4.1,-5.7
2013-03-06 06:00:00,186.0,4.5,-5.3
2013-03-06 07:00:00,188.0,5.7,-5.0
2013-03-06 08:00:00,194.0,6.6,-4.8
2013-03-06 09:00:00,184.0,7.5,-4.6
2013-03-06 10:00:00,175.0,8.7,-4.5
2013-03-06 11:00:00,179.0,10.1,-4.7
2013-03-06 12:00:00,192.0,11.1,-4.2
2013-03-06 13:00:00,201.0,12.6,-3.7
2013-03-06 14:00:00,230.0,14.5,-3.3
2013-03-06 15:00:00,246.0,14.7,-3.2
2013-03-06 16:00:00,248.0,14.2,-3.2
2013-03-06 17:00:00,230.0,11.6,-3.4
2013-03-06 18:00:00,239.0,6.8,-2.9
2013-03-06 19:00:00,242.0,5.1,-2.5
2013-03-06 20:00:00,254.0,4.4,-2.5
2013-03-06 21:00:00,266.0,3.8,-2.2
2013-03-06 22:00:00,254.0,2.4,-2.5
2013-03-06 23:00:00,260.0,2.3,-2.4
2013-03-07 00:00:00,250.0,1.5,-2.6
2013-03-07 01:00:00,240.0,0.7,-2.7
2013-03-07 02:00:00,238.0,1.5,-2.5
2013-03-07 03:00:00,243.0,0.3,-2.7
2013-03-07 04:00:00,246.0,-0.9,-3.3
2013-03-07 05:00:00,275.0,1.6,-1.5
2013-03-07 06:00:00,306.0,0.3,-2.7
2013-03-07 07:00:00,320.0,2.4,-1.4
2013-03-07 08:00:00,292.0,8.3,-1.0
2013-03-07 09:00:00,251.0,10.1,-0.7
2013-03-07 10:00:00,228.0,12.7,-1.6
2013-03-07 11:00:00,217.0,16.5,-1.6
2013-03-07 12:00:00,255.0,17.1,-3.1
2013-03-07 13:00:00,258.0,17.7,-3.2
2013-03-07 14:00:00,277.0,18.3,-3.2
2013-03-07 15:00:00,282.0,18.6,-1.8
2013-03-07 16:00:00,267.0,17.9,-0.9
2013-03-07 17:00:00,216.0,15.4,-1.7
2013-03-07 18:00:00,201.0,14.4,-2.5
